ID,ENG,FIL,polarity
2495,indomitable,matigas,positive
2496,indomitably,indomitably,positive
2497,indubitable,hindi mapag-aalinlanganan,positive
2498,indubitably,indubitably,positive
2499,indulge,magpakasawa,negative
2500,indulgence,utang na loob,positive
2501,indulgent,masyadong mapagbigay,positive
2502,inefficacious,walang bisa,negative
2503,inefficacy,kawalan ng epekto,negative
2504,inelegance,kawalang-kisig,negative
2505,inelegant,hindi makisig,negative
2506,ineloquent,ineloquent,negative
2507,ineloquently,ineloquently,negative
2508,inept,wala sa ayos,negative
2509,ineptitude,kawalan ng kabagayan,negative
2510,ineptly,ineptly,negative
2511,inequality,hindi pagkakapantay o pagkakapantay-pantay,negative
2512,inequitable,hindi makatarungan,negative
2513,inequitably,inequitably,negative
2514,inequities,inequities,negative
2515,inescapable,hindi maiwasan,negative
2516,inescapably,inescapably,negative
2517,inessential,hindi importante,negative
2518,inestimable,hindi mataya,positive
2519,inestimably,inestimably,positive
2520,inevitable,walang mintis,negative
2521,inevitably,hindi maaaring hindi,negative
2522,inexcusable,hindi mapagpapaumanhinan,negative
2523,inexcusably,inexcusably,negative
2524,inexorable,hindi matinag,negative
2525,inexorably,inexorably,negative
2526,inexpiable,hindi mapagbabayaran,negative
2527,inexplainable,inexplainable,negative
2528,inexplicable,hindi maipaliliwanag,negative
2529,inextricable,hindi malulutas,negative
2530,inextricably,inextricably,negative
2531,infallible,hindi maaaring magkamali,positive
2532,infallibly,infallibly,positive
2533,infallibility,hindi pagkakamali,positive
2534,infamous,walang hiya,negative
2535,infamously,infamously,negative
2536,infamy,labis na kasamaan,negative
2537,infatuated,hibang sa pag-ibig,both
2538,infer,magpakilala,neutral
2539,inferior,bulok,negative
2540,inferiority,kababaan ng uri,negative
2541,infernal,makademonyo,negative
2542,infidel,taong hindi naniniwala sa relihiyon,negative
2543,infidels,infidels,negative
2544,infirm,mahina ang loob,negative
2545,inflame,papag-alabin,negative
2546,inflammatory,nagpapasiklab,negative
2547,inflexible,hindi mabaluktot,negative
2548,inflict,pahirapan,negative
2549,infringe,lumabag,negative
2550,infringement,paglabag,negative
2551,infringements,mga paglabag,negative
2552,infuriate,papagsiklabin sa galit,negative
2553,infuriates,ginagalit,negative
2554,infuriated,ginalit,negative
2555,infuriating,nagpapasiklab sa galit,negative
2556,infuriatingly,infuriatingly,negative
2557,ingenious,mapanlikha,positive
2558,ingeniously,ingeniously,positive
2559,ingenuity,talino sa paglikha,positive
2560,ingenuous,walang malay sa masama,positive
2561,ingenuously,ingenuously,positive
2562,inglorious,hindi marangal,negative
2563,ingrate,taong walang utang na loob,negative
2564,ingratiate,magmapuri,positive
2565,ingratiating,kaakit-akit,positive
2566,ingratiatingly,nang kaakit-akit,positive
2567,ingratitude,hindi pagtanaw ng utang na loob,negative
2568,inherent,likas,neutral
2569,inhospitable,masamang ugali sa panauhin,negative
2570,inhospitality,inhospitality,negative
2571,inhuman,hindi makatao,negative
2572,inhumane,malupit,negative
2573,inhumanity,kawalan ng damdamin,negative
2574,inimical,nalalabag,negative
2575,inimically,inimically,negative
2576,iniquitous,napakawalang-katarungan,negative
2577,iniquity,mabigat na pagkakasala,negative
2578,injudicious,marapat,negative
2579,injustice,kawalan ng katarungan,negative
2580,injustices,injustices,negative
2581,inkling,sapantaha,neutral
2582,inklings,inklings,neutral
2583,innocuous,hindi nakasasama,positive
2584,innuendo,parinig,negative
2585,inoffensive,hindi nakasasakit,positive
2586,inopportune,hindi bagay,negative
2587,inordinate,sobra,negative
2588,inordinately,inordinately,negative
2589,inquisitive,matanong,positive
2590,insane,basag ang pula,negative
2591,insanely,insanely,negative
2592,insanity,pagkasira ng ulo,negative
2593,insatiable,walang kabusugan,negative
2594,insecurity,kawalan ng kapanatagan,negative
2595,insensitive,walang nararamdaman,negative
2596,insensitively,insensitively,negative
2597,insensitivity,kawalan ng damdamin,negative
2598,insidious,lihim na mapanira,negative
2599,insidiously,insidiously,negative
2600,insight,maliwanag na pagkaunawa,positive
2601,insightful,#NAME?,positive
2602,insightfully,insightfully,positive
2603,insights,mga pananaw,neutral
2604,insincere,walang katapatan,negative
2605,insincerely,insincerely,negative
2606,insincerity,kawalan ng katapatan,negative
2607,insinuate,magparamdam,negative
2608,insinuating,insinuating,negative
2609,insinuation,paramdam,negative
2610,insist,gumitgit,positive
2611,insistent,mapilit,positive
2612,insistently,insistently,positive
2613,insociable,insociable,negative
2614,insolence,kawalang-hiyaan,negative
2615,insolent,walang galang,negative
2616,insolently,insolently,negative
2617,insouciance,pagkapabaya,negative
2618,inspiration,inspirasyon,positive
2619,inspirational,Pampasigla,positive
2620,inspire,magbigay ng inspirasyon,positive
2621,inspires,inspires,positive
2622,inspiring,nakasisigla,positive
2623,instigate,umapoyo,negative
2624,instigator,manunulsol,negative
2625,instigators,instigators,negative
2626,insubstantial,sa guniguni lamang,negative
2627,insubstantially,insubstantially,negative
2628,insufferable,hindi mabata,negative
2629,insufferably,insufferably,negative
2630,insult,mang-insulto,negative
2631,insults,ininsulto,negative
2632,insulted,inalipusta,negative
2633,insulting,mapanlait,negative
2634,insultingly,insultingly,negative
2635,insupportable,hindi makatwiran,negative
2636,insupportably,insupportably,negative
2637,integrity,integridad,positive
2638,intelligent,matalas ang isip,positive
2639,intelligible,naiintindihan,positive
2640,interesting,kawili-wili,positive
2641,intimacy,pagpapalagayang-loob,positive
2642,intimate,kilalang-kilala,neutral
2643,intimidating,intimidating,negative
2644,intimidatingly,intimidatingly,negative
2645,intolerable,hindi matitiis,negative
2646,intolerablely,intolerablely,negative
2647,intolerance,hindi pagpaparaan,negative
2648,intolerant,intolerante,negative
2649,intransigence,intransigence,negative
2650,intransigent,hindi mapagkakasundo,negative
2651,intrigue,makatawag ng pansin,positive
2652,intriguing,nag-iintriga,positive
2653,intriguingly,intriguingly,positive
2654,intrude,pumasok nang walang pahintulot,negative
2655,intrusive,pang-abala,negative
2656,intuitive,madaling maunawaan,positive
2657,inundate,umapaw,negative
2658,inundated,inundated,negative
2659,invalid,walang bisa,negative
2660,invalidate,magpawalang-bisa,negative
2661,invalidity,kawalang-bisa,negative
2662,invaluable,walang kasinghalaga,positive
2663,invaluablely,invaluablely,positive
2664,invective,pagmumura,negative
2665,inveigle,umakit,negative
2666,invidious,kainis-inis,negative
2667,invidiously,invidiously,negative
2668,invidiousness,invidiousness,negative
2669,invigorating,nakapagpapalakas,positive
2670,invincibility,kawalan ng kayang magagapi,positive
2671,invincible,walang talo,positive
2672,inviolable,hindi malalabag,positive
2673,inviolate,hindi nalalabag,positive
2674,invulnerable,hindi tinatablan,positive
2675,irate,nagagalit,negative
2676,irately,irately,negative
2677,ire,pagkagalit,negative
2678,irk,mabuwisit,negative
2679,irked,irked,negative
2680,irksome,nakapagsasawa,negative
2681,ironic,mapanuya,negative
2682,ironies,ironies,negative
2683,irony,kabalintunaan,negative
2684,irrational,hindi makatwiran,negative
2685,irrationality,kalabagan sa katwiran,negative
2686,irrationally,irrationally,negative
2687,irreconcilable,hindi mapagkakasundo,negative
2688,irredeemable,wala nang pag-asa,negative
2689,irredeemably,irredeemably,negative
2690,irreformable,irreformable,negative
2691,irrefutable,mapasisinungalingan,positive
2692,irrefutably,irrefutably,positive
2693,irregardless,irregardless,neutral
2694,irrelevance,kawalan ng kabagayan,negative
2695,irrelevant,hindi kaugnay,negative
2696,irreparable,hindi na mapananauli,negative
2697,irreplacible,irreplacible,negative
2698,irrepressible,hindi mapigil,negative
2699,irreproachable,walang masasabi,positive
2700,irresistible,hindi mapaglabanan,positive
2701,irresistibly,sa paraang hindi mapaglalabanang maakit,positive
2702,irresolute,walang matibay na pasya,negative
2703,irresponsible,hindi mapagkakatiwalaan,negative
2704,irresponsibly,irresponsibly,negative
2705,irreverence,kawalang-pitagan,negative
2706,irreverent,walang pitagan,negative
2707,irreverently,irreverently,negative
2708,irreversible,hindi maaaring pawalang-bisa,negative
2709,irritable,magagalitin,negative
2710,irritably,irritably,negative
2711,irritate,makainis,negative
2712,irritates,nang-iinis,negative
2713,irritated,nainis,negative
2714,irritating,nanggagalit,negative
2715,irritating,nakakainis,negative
2716,irritation,pangangati,negative
2717,itch,hindi mapalagay o mapakali,negative
2718,jabber,magdadaldal,negative
2719,jaded,pinagod,negative
2720,jaundiced,madilaw ang balat,negative
2721,jauntily,nang masigla,positive
2722,jaunty,masigla,positive
2723,jealous,naninibugho,negative
2724,jealously,jealously,negative
2725,jealousness,jealousness,negative
2726,jealousy,selos,negative
2727,jeer,mang-aglahi,negative
2728,jeering,jeering,negative
2729,jeeringly,jeeringly,negative
2730,jeers,jeers,negative
2731,jeopardize,malagay sa panganib,negative
2732,jeopardy,panganib,negative
2733,jerk,biglang takbo,negative
2734,jest,pagbibiro,positive
2735,jittery,ninenerbiyos,negative
2736,joke,magbiro,positive
2737,joker,taong mapagbiro,negative
2738,jolly,magbiro,positive
2739,jovial,masigla,positive
2740,joy,kagalakan,positive
2741,joyful,nagagalak,positive
2742,joyfully,joyfully,positive
2743,joyless,hindi masaya,positive
2744,joyous,masayang-masaya,positive
2745,joyously,joyously,positive
2746,jubilant,galak na galak,positive
2747,jubilantly,jubilantly,positive
2748,jubilate,magalak,positive
2749,jubilation,pagkakatuwa,positive
2750,judicious,mahusay magpasiya,positive
2751,just,lamang,positive
2752,justifiable,makatwiran,positive
2753,justifiably,justifiably,positive
2754,justification,pagbibigay-katarungan,positive
2755,justify,pawalang-sala,positive
2756,justly,nang matarong,positive
2757,kaput,kaput,negative
2758,keen,matalim,positive
2759,keenly,keenly,positive
2760,keenness,katalasan,positive
2761,kemp,Kemp,positive
2762,kick,sipa,negative
2763,kid,batang kambing,positive
2764,killjoy,killjoy,negative
2765,kind,uri,positive
2766,kindly,nang mabait,positive
2767,kindliness,kabaitan,positive
2768,kindness,kagandahang-loob,positive
2769,kingmaker,kingmaker,positive
2770,knave,taong tuso,negative
2771,knew,Alam,neutral
2772,know,kilala,neutral
2773,knowing,kaalaman,neutral
2774,knowingly,sadya,neutral
2775,knowledge,kaalaman,neutral
2776,knowledgeable,matalino,positive
2777,kook,kook,negative
2778,kooky,kooky,negative
2779,lack,kakulangan,negative
2780,lackadaisical,walang sigla,negative
2781,lackey,sumunod ng parang aso,negative
2782,lackeys,lackeys,negative
2783,lacking,kulang,negative
2784,lackluster,walang kinang,negative
2785,laconic,walang maraming salita,negative
2786,lambast,lambast,negative
2787,lambaste,bombahin,negative
2788,lame-duck,pilay-pato,negative
2789,lament,tumaghoy,negative
2790,lamentable,kahina-hinayang,negative
2791,lamentably,lamentably,negative
2792,languid,walang sigla,negative
2793,languish,sabik na sabik na syang umuwi,negative
2794,languor,kawalang-sigla,negative
2795,languorous,matamlay,negative
2796,languorously,languorously,negative
2797,lark,magkatuwaan,positive
2798,lascivious,malibog,negative
2799,last-ditch,huling-kanal,negative
2800,lastly,bilang wakas,neutral
2801,laud,pagpuri,positive
2802,laudable,kapuri-puri,positive
2803,laudably,laudably,positive
2804,laugh,tumawa,negative
2805,laughable,nakakatawa,negative
2806,laughably,laughably,negative
2807,laughingstock,laughingstock,negative
2808,laughter,pagtawa,negative
2809,lavish,bukas ang palad,positive
2810,lavishly,marangyang,positive
2811,law-abiding,masunurin sa batas,positive
2812,lawbreaker,salarin,negative
2813,lawbreaking,lawbreaking,negative
2814,lawless,laban sa batas,negative
2815,lawlessness,kawalan ng batas,negative
2816,lax,hindi mahigpit,negative
2817,lazy,tamad,negative
2818,lech,Lech,negative
2819,lecher,malibog na tao,negative
2820,lecherous,malibog,negative
2821,lechery,kalibugan,negative
2822,leech,linta,negative
2823,leer,pairap,negative
2824,leery,suspetsoso,negative
2825,left-leaning,kaliwa-nakahilig,negative
2826,letch,letch,negative
2827,levity,kawalang-isip,positive
2828,lewd,malibog,negative
2829,lewdly,lewdly,negative
2830,lewdness,kahalayan,negative
2831,liability,sagutin,negative
2832,liar,sinungaling,negative
2833,liars,liars,negative
2834,liberate,palayain,positive
2835,liberty,kalayaan,positive
2836,licentious,walang pagpipigil,negative
2837,licentiously,licentiously,negative
2838,licentiousness,kahalayan,negative
2839,lie,kasinungalingan,negative
2840,lier,Lier,negative
2841,lies,mga kasinungalingan,negative
2842,lifeblood,lifeblood,positive
2843,light-hearted,masayahin,positive
2844,likable,kaibig-ibig,positive
2845,like,katulad,positive
2846,likes,gusto,positive
2847,liked,ginusto,positive
2848,liking,pagkamatuwain,positive
2849,likewise,gayon din naman,neutral
2850,limitless,walang tasa,neutral
2851,limp,malata,negative
2852,lionhearted,lionhearted,positive
2853,listless,walang sigla,negative
2854,litigious,litigious,negative
2855,little,kaunti,negative
2856,little-known,maliit na-kilala,negative
2857,lively,masigla,positive
2858,livid,nangingitim-ngitim,negative
2859,lividly,lividly,negative
2860,loath,mabigat sa loob,negative
2861,loathe,pagsawaan,negative
2862,loathing,suya,negative
2863,loathly,loathly,negative
2864,loathsome,nakakasuya,negative
2865,loathsomely,loathsomely,negative
2866,lofty,matayog,positive
2867,lone,kaisa-isa,negative
2868,loneliness,lungkot,negative
2869,lonely,malungkot,negative
2870,lonesome,nalulungkot,negative
2871,long,mahaba,negative
2872,longing,pag-asam,negative
2873,longingly,longingly,negative
2874,loophole,lusot,negative
2875,loopholes,butas,negative
2876,loot,pagnakawan,negative
2877,lorn,pinagtaksilan,negative
2878,losing,nalulugi,negative
2879,lousy,walang kuwenta,negative
2880,lovable,kaibig-ibig,positive
2881,lovably,lovably,positive
2882,love,pag-ibig,positive
2883,loves,mahal,positive
2884,loved,minahal,positive
2885,loveless,walang pag-ibig,negative
2886,loveliness,kagandahan,positive
2887,lovelorn,sawi sa pag-ibig,negative
2888,lover,kalaguyo,positive
2889,lovely,kaibig-ibig,positive
2890,low-rated,mababang-rated,negative
2891,lowly,mababang-loob,negative
2892,loyalty,katapatan,positive
2893,lucid,matino,positive
2894,lucidly,lucidly,positive
2895,luck,suwerte,positive
2896,luckier,luckier,positive
2897,luckiest,luckiest,positive
2898,luckily,sa kabutihang-palad,positive
2899,luckiness,luckiness,positive
2900,lucky,mapalad,positive
2901,ludicrous,nakakatawa,negative
2902,ludicrously,ludicrously,negative
2903,lugubrious,malungkot,negative
2904,lukewarm,walang sigla,negative
2905,lunatic,sira ang ulo,negative
2906,lunaticism,lunaticism,negative
2907,lurch,giwang,negative
2908,lure,pang-akit,negative
2909,lurid,naliliwanagan,negative
2910,lurk,tumago,negative
2911,lurking,tago,negative
2912,lush,malabay,positive
2913,lust,katakawan,negative
2914,lust,libog,negative
2915,lusts,linilibog,negative
2916,lusted,nalibog,negative
2917,lustful,malibog,negative
2918,luster,ningning,positive
2919,lustrous,makislap,positive
2920,luxuriant,malabay,positive
2921,luxurious,marangya,positive
2922,luxuriously,marangya,positive
2923,luxury,karangyaan,positive
2924,lying,pagsisinungaling,negative
2925,lyrical,liriko,positive
2926,macabre,mapanglaw,negative
2927,mad,galit na galit,negative
2928,madden,magalit nang labis,negative
2929,maddening,kagalit-galit,negative
2930,maddeningly,maddeningly,negative
2931,madder,halaman ng meder,negative
2932,madly,hibang na hibang,negative
2933,madman,baliw,negative
2934,madness,kabaliwan,negative
2935,magic,salamangka,positive
2936,magical,nakapagtataka,positive
2937,magnanimous,mapagbigay-loob,positive
2938,magnanimously,magnanimously,positive
2939,magnificence,karilagan,positive
2940,magnificent,kahanga-hanga,positive
2941,magnificently,magnificently,positive
2942,majestic,marilag,positive
2943,majesty,kamahalan,positive
2944,maladjusted,maladjusted,negative
2945,maladjustment,kawalan ng pagtutugma,negative
2946,malcontent,walang kasiyahan,negative
2947,malcontented,malcontented,negative
2948,maledict,maledict,negative
2949,malevolence,paghahangad ng masama sa kapwa,negative
2950,malevolent,mapaghangad ng masama sa kapwa,negative
2951,malevolently,malevolently,negative
2952,malice,masamang hangarin,negative
2953,malicious,nakahahamak,negative
2954,maliciously,maliciously,negative
2955,maliciousness,maliciousness,negative
2956,malign,siraan ng puri,negative
2957,malodorous,malodorous,negative
2958,maltreatment,pang-aapi,negative
2959,mangle,sumira,negative
2960,mania,hangal na pagnanasa,negative
2961,maniac,baliw,negative
2962,maniacal,maniacal,negative
2963,manic,isang buhok,negative
2964,manifest,talaan ng mga kargamento,positive
2965,manipulate,manipula,negative
2966,manipulates,minamanipula,negative
2967,manipulative,manipulahin,negative
2968,manipulators,manipulators,negative
2969,manly,tunay na lalaki,positive
2970,mannerly,magalang,positive
2971,mantra,Mantra,neutral
2972,mar,magpapangit,negative
2973,martyrdom,kamatayan bilang isang martir,negative
2974,martyrdom-seeking,kamatayan bilang isang martir-naghahanap,negative
2975,marvel,mamangha,positive
2976,marvellous,kamangha-mangha,positive
2977,marvelous,kamangha-mangha,positive
2978,marvelously,marvelously,positive
2979,marvelousness,marvelousness,positive
2980,marvels,marvels,positive
2981,massacre,patayan,negative
2982,massacres,massacres,negative
2983,master,panginoon,positive
2984,masterful,sanay,positive
2985,masterfully,masterfully,positive
2986,masterpiece,obra maestra,positive
2987,masterpieces,masterpieces,positive
2988,masters,Masters,positive
2989,mastery,pagwawagi,positive
2990,matchless,hindi mapapantayan,positive
2991,maverick,taong lagalag,negative
2992,mawkish,nakaiinis,negative
2993,mawkishly,mawkishly,negative
2994,mawkishness,mawkishness,negative
2995,maxi-devaluation,malaki pagpapawalang halaga,negative
2996,maximize,i-maximize ang,positive
2997,maybe,siguro,neutral
2998,meager,payat,negative
2999,mean,ibig sabihin,negative
3000,meaningful,makahulugan,positive
3001,meaningless,walang kahulugan,negative
3002,meanness,kahinaan ng uri,negative
3003,meddle,pakialaman,negative
3004,meddlesome,mapakialam,negative
3005,mediocre,katamtaman,negative
3006,mediocrity,kapangkaraniwanan,negative
3007,meek,malamig ang loob,positive
3008,melancholy,mapanglaw,negative
3009,mellow,malamig na at mahinahon,positive
3010,melodramatic,melodramatik,negative
3011,melodramatically,melodramatically,negative
3012,memorable,hindi malilimot,positive
3013,memorialize,memorialize,positive
3014,menace,magsapanganib,negative
3015,menacing,menacing,negative
3016,menacingly,menacingly,negative
3017,mendacious,nagsisinungaling,negative
3018,mendacity,pagsisinungaling,negative
3019,mentality,kaisipan,neutral
3020,merciful,maawain,positive
3021,mercifully,mercifully,positive
3022,merciless,walang puso,negative
3023,mercilessly,mercilessly,negative
3024,mercy,awa,positive
3025,mere,galos lamang,negative
3026,merely,at wala na,negative
3027,merit,maging marapat,positive
3028,meritorious,karapat-dapat sa gantimpala,positive
3029,merrily,nang masaya,positive
3030,merriment,pagkakatuwa,positive
3031,merriness,merriness,positive
3032,merry,lasing nang bahagya,positive
3033,mesmerize,maghipnotismo,positive
3034,mesmerizing,mesmerizing,positive
3035,mesmerizingly,mesmerizingly,positive
3036,mess,gulo,negative
3037,metaphorize,metaphorize,neutral
3038,midget,kutong-lupa,negative
3039,might,lakas,positive
3040,mightily,nang buong lakas,positive
3041,mighty,makapangyarihan,positive
3042,militancy,kapaladigmaan,negative
3043,mindful,nasa sa isip,positive
3044,mindless,walang kahulugan,negative
3045,mindlessly,mindlessly,negative
3046,miracle,himala,positive
3047,miracles,himala,positive
3048,miraculous,mapaghimala,positive
3049,miraculously,miraculously,positive
3050,miraculousness,miraculousness,positive
3051,mirage,malikmata,negative
3052,mire,putik,negative
3053,mirth,pagtatawa,positive
3054,misbecoming,misbecoming,negative
3055,misbecome,hindi bumagay,negative
3056,misbegotten,nakahihiya,negative
3057,misbehave,gumawa ng kalokohan,negative
3058,misbehavior,kasamaang asal,negative
3059,mischief,pagbibiro,negative
3060,mischievous,mapagbiro,negative
3061,mischievously,mischievously,negative
3062,misconception,maling kuru-kuro,negative
3063,misconceptions,misconceptions,negative
3064,miscreant,masamang tao,negative
3065,miscreants,miscreants,negative
3066,misdirection,misdirection,negative
3067,miser,kuripot,negative
3068,miserly,kuripot,negative
3069,miserable,kahabag-habag,negative
3070,miserableness,miserableness,negative
3071,miserably,nang abang-aba,negative
3072,miseries,miseries,negative
3073,misery,paghihirap,negative
3074,misfit,taong hindi akma sa gawain,negative
3075,misfortune,kasawian,negative
3076,misgiving,pag-aagam-agam,negative
3077,misgivings,misgivings,negative
3078,misguidance,misguidance,negative
3079,misguide,pumatnubay nang hindi tama,negative
3080,misguided,naligaw ng landas,negative
3081,mishandle,pagmalupitan,negative
3082,mishap,kasawian,negative
3083,misinform,magbigay ng maling impormasyon,negative
3084,minsinforms,misinforms,negative
3085,misinformed,misinformed,negative
3086,misinterpret,magkamali ng pakahulugan,negative
3087,misjudge,magkamali ng tantiya,negative
3088,misjudgment,pagmamaliit,negative
3089,mislead,iligaw,negative
3090,misleads,nililigaw,negative
3091,misled,niligaw,negative
3092,misleading,nakakalinlang,negative
3093,misleadingly,misleadingly,negative
3094,mislike,mislike,negative
3095,mismanage,mamahala sa masamang paraan,negative
3096,misread,magkamali ng basa,negative
3097,misreading,hindi tamang pagbasa,negative
3098,misrepresent,magsinungaling,negative
3099,misrepresentation,pagsisinungaling,negative
3100,misstatement,maling pangungusap,negative
3101,mistake,pagkakamali,negative
3102,mistaken,nagkakamali,negative
3103,mistakenly,sa pagkakamali,negative
3104,mistakes,pagkakamali,negative
3105,mistrust,kawalan ng tiwala,negative
3106,mistrustful,walang tiwala,negative
3107,mistrustfully,mistrustfully,negative
3108,misunderstand,hindi maintindihan,negative
3109,misunderstands,di naintindihan,negative
3110,misunderstood,gusot,negative
3111,misunderstanding,hindi pagkakaunawaan,negative
3112,misunderstandings,misunderstandings,negative
3113,misuse,maling gamit,negative
3114,moan,halinghing,negative
3115,mock,hindi totohanan,negative
3116,mocks,pinapahiya,negative
3117,mocked,pinahiya,negative
3118,mockeries,mockeries,negative
3119,mockery,pagpapawalang-kabuluhan,negative
3120,mocking,mapanukso,negative
3121,mockingly,nang lumilibak,negative
3122,moderate,katamtaman,positive
3123,moderation,pagtitimpi,positive
3124,molest,mang-istorbo,negative
3125,molestation,pang-iistorbo,negative
3126,mollify,palamigin,positive
3127,momentous,napakadakila,positive
3128,monotonous,walang pagbabago ang tono,negative
3129,monotony,monotony,negative
3130,monster,napakalaking halimaw,negative
3131,monstrosities,monstrosities,negative
3132,monstrosity,isang napakapangit na bagay,negative
3133,monstrous,hindi kapani-paniwala,negative
3134,monstrously,monstrously,negative
3135,monumental,parang monumento,positive
3136,monumentally,monumentally,positive
3137,moody,nalulungkot,negative
3138,moral,moral,positive
3139,morality,moralidad,positive
3140,moralize,magturo ng kagandahang-asal,positive
3141,morbid,dahil sa sakit,negative
3142,morbidly,morbidly,negative
3143,mordant,nakasusugat,negative
3144,mordantly,mordantly,negative
3145,moreover,higit sa rito,neutral
3146,moribund,namamatay,negative
3147,mortification,kahihiyan,negative
3148,mortified,mortified,negative
3149,mortify,pasakitan ang sarili,negative
3150,mortifying,mapanghamak,negative
3151,motivate,mag-udyok,positive
3152,motivates,motivates,positive
3153,motivated,motivated,positive
3154,motivation,pagganyak,positive
3155,motley,halu-halong bagay,negative
3156,mourn,humagulgol,negative
3157,mourns,pinagluluksa,negative
3158,mourned,pinagluksa,negative
3159,mourner,taong nagdadalamhati,negative
3160,mournful,malungkot,negative
3161,mournfully,mournfully,negative
3162,moving,gumagalaw,positive
3163,mudslinger,mudslinger,negative
3164,mudslinging,paninirang-puri,negative
3165,mulish,matigas ang ulo,negative
3166,multi-polarization,multi-polariseysyon,negative
3167,mum,kawalan ng imik,neutral
3168,mundane,pangmundo,negative
3169,muscle-flexing,kalamnan-flexing,negative
3170,must,kailangan,neutral
3171,mysterious,mahiwaga,negative
3172,mysteriously,mysteriously,negative
3173,mystery,misteryo,negative
3174,myth,gawa-gawa,negative
3175,nag,magmura,negative
3176,nags,kinukulit,negative
3177,nagged,kinulit,negative
3178,nagging,mapag-angil,negative
3179,naive,walang muwang,negative
3180,naively,naively,negative
3181,narrower,mas makitid,negative
3182,nastily,kasumpa-sumpa,negative
3183,nastiness,nastiness,negative
3184,nasty,pangit,negative
3185,nationalism,nasyonalismo,negative
3186,naughty,galawgaw,negative
3187,nauseating,nauseating,negative
3188,nauseatingly,nauseatingly,negative
3189,nebulous,parang ulap,negative
3190,nebulously,nebulously,negative
3191,need,kailangan,neutral
3192,needful,kailangan,neutral
3193,needfully,needfully,neutral
3194,nefarious,kasuklam-suklam,negative
3195,nefariously,nefariously,negative
3196,neglect,kapabayaan,negative
3197,neglected,nagpapabaya,negative
3198,negligent,pabaya,negative
3199,negligence,kapabayaan,negative
3200,nemesis,katarungan,negative
3201,nettlesome,nettlesome,negative
3202,nevertheless,gayon pa man,neutral
3203,nervous,kinakabahan,negative
3204,nervously,nervously,negative
3205,nervousness,nerbiyos,negative
3206,neurotic,matatakutin,negative
3207,neurotically,neurotically,negative
3208,nice,magaling,positive
3209,nicely,mahusay,positive
3210,nifty,makisig,positive
3211,nightmare,nakatatakot na karanasan,negative
3212,nightmarish,kakila-kilabot,negative
3213,nightmarishly,nightmarishly,negative
3214,nimble,matalino,positive
3215,nix,ala,negative
3216,noble,marangal,positive
3217,nobly,matenakan,positive
3218,non-confidence,hindi pagtitiwala,negative
3219,nonsense,bagay na walang kapararakan,negative
3220,nosey,pakialamero,negative
3221,notable,taong litaw,positive
3222,notably,kapansin-pansin,positive
3223,noteworthy,kapansin-pansing pagtatagumpay,positive
3224,notorious,kilalang-kilala,negative
3225,notoriously,notoriously,negative
3226,novel,akdang-buhay,positive
3227,nuance,pananarinari,neutral
3228,nuances,nuances,neutral
3229,nuisance,istorbo,negative
3230,nurture,mag-alaga,positive
3231,nurtures,nag-aaala,positive
3232,nurtured,nag-alaga,positive
3233,nurturing,maalaga,positive
3234,oasis,oasis,positive
3235,obedience,pagkamasunurin,positive
3236,obedient,masunurin,positive
3237,obediently,obediently,positive
3238,obey,sumunod,positive
3239,obeys,sumusunod,positive
3240,obeyed,obeyed,positive
3241,obese,napakataba,negative
3242,object,bagay,negative
3243,objects,objects,neutral
3244,objected,objected,neutral
3245,objection,pagtutol,negative
3246,objectionable,hindi kanais-nais,negative
3247,objections,mga pagtutol,negative
3248,obliged,nagpapasalamat,positive
3249,obliterate,mapawi,negative
3250,obliterated,obliterated,negative
3251,oblivious,hindi alumana,negative
3252,obnoxious,kahalay-halay,negative
3253,obnoxiously,nakaiinis,negative
3254,obscene,mahalay,negative
3255,obscenely,obscenely,negative
3256,obscenity,kalaswaan,negative
3257,obscure,nakatago,negative
3258,obscurity,hindi katanyagan,negative
3259,obsess,sumaging lagi sa isip,negative
3260,obsesses,obsesses,
3261,obsession,kinahuhumalingan,negative
3262,obsessions,obsessions,negative
3263,obsessive,laging sumasagi sa alaala,negative
3264,obsessively,obsessively,negative
3265,obsessiveness,obsessiveness,negative
3266,obstacle,balakid,negative
3267,obstinate,magmatigas ng ulo,negative
3268,obstinately,obstinately,negative
3269,obtrusive,mapanghimasok,negative
3270,obtuse,mapurol ang ulo,negative
3271,obviate,makapawi,positive
3272,obviously,nang walang alinlangan,negative
3273,odder,odder,negative
3274,oddest,oddest,negative
3275,oddities,oddities,negative
3276,oddity,kakaibang tao o bagay,negative
3277,oddly,nang kakatwa,negative
3278,offbeat,Offbeat,positive
3279,offend,sumugat ng damdamin,negative
3280,offends,pinapahiya,negative
3281,offended,pinahiya,negative
3282,offending,nakakasakit,negative
3283,offenses,pagkakasala,negative
3284,offensively,nang masakit,negative
3285,offensiveness,offensiveness,negative
3286,officious,mapakialam,negative
3287,oh,naku,neutral
3288,ok,ok,positive
3289,okay,ayos,positive
3290,ominous,nagbabala,negative
3291,ominously,ominously,negative
3292,one-side,isa-side,negative
3293,one-sided,may pinapanigan,negative
3294,onerous,mabigat,negative
3295,onerously,mabigat,negative
3296,opinion,pag-aakala,neutral
3297,opinionated,matigas sa palagay,negative
3298,opinions,opinyon,neutral
3299,opponent,kalaban,negative
3300,opportune,bagay na bagay,positive
